enumeration name	permissible value name	PV meaning
RNASampleFormatEnum	Pellet	
RNASampleFormatEnum	RNAStable	
RNASampleFormatEnum	TE	
RNASampleFormatEnum	Water	
RNASampleFormatEnum	Gentegra-DNA	
RNASampleFormatEnum	Gentegra-RNA	
AnalysisTypeEnum		
AnalysisTypeEnum	metabolomics	
AnalysisTypeEnum	metagenomics	
AnalysisTypeEnum	metagenomics_long_read	
AnalysisTypeEnum	metaproteomics	
AnalysisTypeEnum	metatranscriptomics	
AnalysisTypeEnum	natural organic matter	
StatusEnum		
StatusEnum	pass	
StatusEnum	fail	
ProcessingInstitutionEnum		
ProcessingInstitutionEnum	UCSD	https://ror.org/0168r3w48
ProcessingInstitutionEnum	JGI	https://ror.org/04xm1d337
ProcessingInstitutionEnum	EMSL	https://ror.org/04rc0xn13
